babel_user,babel_lang,babel_level
4502458,FR,2
5928200,aa,0
46918,ab,0
2050449,ab,1
4715583,ace,0
5928200,ace,0
4494742,acf,1
5928200,af,0
70090,af,1
407454,af,1
433975,af,1
1158865,af,1
4673052,af,1
5443256,af,1
188693,af,2
2766138,af,2
832026,af,3
842951,af,4
90823,agr,1
90823,akk,1
2567414,aln,N
2709724,aln,N
5928200,alt,0
5928200,am,0
2908634,am,2
1601813,am,3
5814832,an,0
5928200,an,0
6166945,an,0
19337,an,1
27496,an,1
46619,an,1
50906,an,1
55485,an,1
73981,an,1
89143,an,1
101610,an,1
102876,an,1
110787,an,1
236942,an,1
239830,an,1
241911,an,1
306897,an,1
320942,an,1
455954,an,1
686939,an,1
850169,an,1
998086,an,1
1027737,an,1
1078010,an,1
1801431,an,1
2441368,an,1
2493076,an,1
2771028,an,1
2898914,an,1
3537517,an,1
3539874,an,1
3871729,an,1
4022840,an,1
4061577,an,1
4075698,an,1
4334954,an,1
4396815,an,1
4434435,an,1
5104418,an,1
6019305,an,1
6033854,an,1
33990,an,2
70553,an,2
217354,an,2
825758,an,2
826269,an,2
923822,an,2
1790954,an,2
5021762,an,2
5428706,an,2
209746,an,3
381617,an,3
383954,an,3
2493476,an,3
2711559,an,3
3627612,an,3
2561473,an,4
5371886,an,4
282181,an,N
414117,an,N
5706638,ang,0
5928200,ang,0
236100,ang,1
4403624,ang,1
5314555,ang,1
1078010,ang,2
1724336,ang,2
1725400,ang,2
30941,ar,0
36569,ar,0
52238,ar,0
134234,ar,0
171954,ar,0
202600,ar,0
238118,ar,0
587766,ar,0
681436,ar,0
845088,ar,0
1025077,ar,0
1031894,ar,0
1555967,ar,0
1780493,ar,0
2110076,ar,0
2443147,ar,0
2493076,ar,0
2564814,ar,0
2952184,ar,0
3305311,ar,0
3916179,ar,0
4061577,ar,0
4069245,ar,0
4075698,ar,0
4801186,ar,0
5030285,ar,0
5446165,ar,0
5762476,ar,0
5806882,ar,0
5810786,ar,0
5956143,ar,0
8989,ar,1
18090,ar,1
20921,ar,1
28901,ar,1
31905,ar,1
50835,ar,1
56149,ar,1
57564,ar,1
73654,ar,1
80695,ar,1
86832,ar,1
90823,ar,1
95711,ar,1
98739,ar,1
99226,ar,1
102876,ar,1
110945,ar,1
114261,ar,1
126491,ar,1
146394,ar,1
159013,ar,1
169443,ar,1
181078,ar,1
185354,ar,1
185981,ar,1
188693,ar,1
251570,ar,1
283982,ar,1
331020,ar,1
332599,ar,1
373151,ar,1
448029,ar,1
473321,ar,1
487802,ar,1
489809,ar,1
534838,ar,1
563580,ar,1
611660,ar,1
638801,ar,1
672328,ar,1
674716,ar,1
726090,ar,1
769482,ar,1
771782,ar,1
811806,ar,1
868968,ar,1
917278,ar,1
920202,ar,1
1095448,ar,1
1208004,ar,1
1272582,ar,1
1355267,ar,1
1392356,ar,1
1431011,ar,1
1449648,ar,1
1464431,ar,1
1558507,ar,1
1643084,ar,1
1686285,ar,1
1893180,ar,1
2168563,ar,1
2252024,ar,1
2306674,ar,1
2390087,ar,1
2398696,ar,1
2424250,ar,1
2473486,ar,1
2564755,ar,1
2671933,ar,1
2853999,ar,1
2911108,ar,1
2917580,ar,1
3065904,ar,1
4245325,ar,1
4337067,ar,1
4421121,ar,1
4473406,ar,1
4494674,ar,1
4785775,ar,1
4909634,ar,1
5058636,ar,1
5555136,ar,1
5582932,ar,1
5733350,ar,1
5752774,ar,1
5873480,ar,1
5951290,ar,1
6008208,ar,1
6034150,ar,1
6069337,ar,1
6071890,ar,1
6133605,ar,1
25464,ar,2
30859,ar,2
238396,ar,2
264090,ar,2
278496,ar,2
358393,ar,2
393747,ar,2
582958,ar,2
613655,ar,2
834597,ar,2
913811,ar,2
923659,ar,2
1089549,ar,2
1230288,ar,2
1426860,ar,2
1524256,ar,2
1609686,ar,2
2518439,ar,2
2567414,ar,2
2651529,ar,2
2709724,ar,2
2746455,ar,2
3939509,ar,2
4562876,ar,2
4884255,ar,2
5187956,ar,2
5324601,ar,2
6166945,ar,2
25221,ar,3
63144,ar,3
150286,ar,3
270482,ar,3
281352,ar,3
310218,ar,3
590915,ar,3
621582,ar,3
1024438,ar,3
1225596,ar,3
1282935,ar,3
1284226,ar,3
1980948,ar,3
3355841,ar,3
3736924,ar,3
605117,ar,4
685741,ar,4
1428495,ar,4
1678569,ar,4
2919974,ar,4
4673790,ar,4
5928200,ar,4
299448,ar,N
378674,ar,N
739010,ar,N
965411,ar,N
1086935,ar,N
1122773,ar,N
1344260,ar,N
1417190,ar,N
1580972,ar,N
1691809,ar,N
2153213,ar,N
2480905,ar,N
2960671,ar,N
4261329,ar,N
4292961,ar,N
4334792,ar,N
4554464,ar,N
4751631,ar,N
4857293,ar,N
171954,arc,0
5928200,arc,0
96985,arc,1
1095448,arc,4
2960671,arc,4
750788,arn,0
2104467,arn,0
3760166,arn,0
5814832,arn,0
85771,arn,1
443923,arn,1
512007,arn,1
1306974,arn,1
1325539,arn,1
1337465,arn,1
1872576,arn,1
2139382,arn,1
2520598,arn,1
2557147,arn,1
48866,arn,2
95093,arn,2
456794,arn,2
409169,arn,3
864754,arn,N
4673790,ary,N
5928200,ase,0
90823,ase,1
3444397,ase,2
319999,ast,0
5928200,ast,0
6166945,ast,0
19855,ast,1
26071,ast,1
28136,ast,1
35699,ast,1
39351,ast,1
46619,ast,1
59681,ast,1
73981,ast,1
76754,ast,1
84073,ast,1
109592,ast,1
110945,ast,1
159234,ast,1
174978,ast,1
178512,ast,1
185821,ast,1
200738,ast,1
216972,ast,1
217891,ast,1
236942,ast,1
239830,ast,1
241911,ast,1
242938,ast,1
276211,ast,1
328298,ast,1
363065,ast,1
464184,ast,1
622035,ast,1
668152,ast,1
707946,ast,1
